time,module,kind,amount
22.06.16-16:16:51.838, 41c82c24,dust,41
22.06.16-16:16:52.615, 41c8217b,dust,239
22.06.16-16:16:52.672, 41c82c24,dust,41
22.06.16-16:16:53.524, 41c8217b,dust,237
22.06.16-16:16:53.590, 41c82c24,dust,40
22.06.16-16:16:54.417, 41c82c24,dust,40
22.06.16-16:16:54.438, 41c8217b,dust,237
22.06.16-16:16:55.327, 41c82c24,dust,41
22.06.16-16:16:55.347, 41c8217b,dust,236
22.06.16-16:16:56.165, 41c82c24,dust,41
22.06.16-16:16:56.252, 41c8217b,dust,234
22.06.16-16:16:57.074, 41c82c24,dust,41
22.06.16-16:16:57.161, 41c8217b,dust,231
22.06.16-16:16:57.915, 41c82c24,dust,41
22.06.16-16:16:58.070, 41c8217b,dust,232
22.06.16-16:16:58.818, 41c82c24,dust,41
22.06.16-16:16:58.904, 41c8217b,dust,232
22.06.16-16:16:59.651, 41c82c24,dust,41
22.06.16-16:16:59.813, 41c8217b,dust,229
22.06.16-16:17:00.564, 41c82c24,dust,39
22.06.16-16:17:00.648, 41c8217b,dust,229
22.06.16-16:17:01.396, 41c82c24,dust,39
22.06.16-16:17:01.556, 41c8217b,dust,231
22.06.16-16:17:02.309, 41c82c24,dust,43
22.06.16-16:17:02.388, 41c8217b,dust,231
22.06.16-16:17:03.222, 41c82c24,dust,46
22.06.16-16:17:03.297, 41c8217b,dust,233
22.06.16-16:17:04.132, 41c8217b,dust,233
22.06.16-16:17:04.152, 41c82c24,dust,47
22.06.16-16:17:05.043, 41c8217b,dust,231
22.06.16-16:17:05.061, 41c82c24,dust,49
22.06.16-16:17:05.951, 41c8217b,dust,231
22.06.16-16:17:05.971, 41c82c24,dust,53
22.06.16-16:17:06.862, 41c8217b,dust,234
22.06.16-16:17:06.881, 41c82c24,dust,56
22.06.16-16:17:07.772, 41c8217b,dust,231
22.06.16-16:17:07.791, 41c82c24,dust,57
22.06.16-16:17:08.681, 41c8217b,dust,234
22.06.16-16:17:08.700, 41c82c24,dust,58
22.06.16-16:17:09.591, 41c8217b,dust,233
22.06.16-16:17:09.611, 41c82c24,dust,59
22.06.16-16:17:10.498, 41c8217b,dust,235
22.06.16-16:17:10.518, 41c82c24,dust,62
22.06.16-16:17:11.409, 41c8217b,dust,236
22.06.16-16:17:11.430, 41c82c24,dust,67
22.06.16-16:17:12.317, 41c8217b,dust,236
22.06.16-16:17:12.342, 41c82c24,dust,71
22.06.16-16:17:13.226, 41c8217b,dust,239
22.06.16-16:17:13.253, 41c82c24,dust,71
22.06.16-16:17:14.087, 41c82c24,dust,71
22.06.16-16:17:14.136, 41c8217b,dust,239
22.06.16-16:17:15.000, 41c82c24,dust,69
22.06.16-16:17:15.043, 41c8217b,dust,238
22.06.16-16:17:15.832, 41c82c24,dust,68
22.06.16-16:17:15.958, 41c8217b,dust,237
22.06.16-16:17:16.745, 41c82c24,dust,68
22.06.16-16:17:16.863, 41c8217b,dust,238
22.06.16-16:17:17.578, 41c82c24,dust,68
22.06.16-16:17:17.769, 41c8217b,dust,237
22.06.16-16:17:18.490, 41c82c24,dust,68
22.06.16-16:17:18.605, 41c8217b,dust,237
22.06.16-16:17:19.328, 41c82c24,dust,69
22.06.16-16:17:19.512, 41c8217b,dust,237
22.06.16-16:17:20.236, 41c82c24,dust,73
22.06.16-16:17:20.347, 41c8217b,dust,237
22.06.16-16:17:21.148, 41c82c24,dust,72
22.06.16-16:17:21.255, 41c8217b,dust,241
22.06.16-16:17:22.060, 41c82c24,dust,74
22.06.16-16:17:22.167, 41c8217b,dust,243
22.06.16-16:17:22.974, 41c82c24,dust,77
22.06.16-16:17:23.076, 41c8217b,dust,243
22.06.16-16:17:23.885, 41c82c24,dust,78
22.06.16-16:17:23.985, 41c8217b,dust,242
22.06.16-16:17:24.799, 41c82c24,dust,78
22.06.16-16:17:24.895, 41c8217b,dust,240
22.06.16-16:17:25.709, 41c82c24,dust,78
22.06.16-16:17:25.806, 41c8217b,dust,243
22.06.16-16:17:26.625, 41c82c24,dust,77
22.06.16-16:17:26.715, 41c8217b,dust,240
22.06.16-16:17:27.536, 41c82c24,dust,76
22.06.16-16:17:27.626, 41c8217b,dust,245
22.06.16-16:17:28.447, 41c82c24,dust,87
22.06.16-16:17:28.534, 41c8217b,dust,242
22.06.16-16:17:29.359, 41c82c24,dust,85
22.06.16-16:17:29.507, 41c8217b,dust,245
22.06.16-16:17:30.268, 41c82c24,dust,86
22.06.16-16:17:30.355, 41c8217b,dust,247
22.06.16-16:17:31.181, 41c82c24,dust,83
22.06.16-16:17:31.264, 41c8217b,dust,248
22.06.16-16:17:32.093, 41c82c24,dust,82
22.06.16-16:17:32.174, 41c8217b,dust,251
22.06.16-16:17:33.011, 41c8217b,dust,251
22.06.16-16:17:33.031, 41c82c24,dust,81
22.06.16-16:17:33.916, 41c8217b,dust,247
22.06.16-16:17:33.936, 41c82c24,dust,81
22.06.16-16:17:34.823, 41c8217b,dust,249
22.06.16-16:17:34.843, 41c82c24,dust,79
22.06.16-16:17:35.662, 41c82c24,dust,79
22.06.16-16:17:35.734, 41c8217b,dust,247
22.06.16-16:17:36.573, 41c82c24,dust,77
22.06.16-16:17:36.643, 41c8217b,dust,248
22.06.16-16:17:37.407, 41c82c24,dust,77
22.06.16-16:17:37.552, 41c8217b,dust,249
22.06.16-16:17:38.317, 41c82c24,dust,77
22.06.16-16:17:38.462, 41c8217b,dust,252
22.06.16-16:17:39.152, 41c82c24,dust,77
22.06.16-16:17:39.371, 41c8217b,dust,253
22.06.16-16:17:40.064, 41c82c24,dust,82
22.06.16-16:17:40.281, 41c8217b,dust,253
22.06.16-16:17:40.899, 41c82c24,dust,82
22.06.16-16:17:41.191, 41c8217b,dust,255
22.06.16-16:17:41.810, 41c82c24,dust,80
22.06.16-16:17:42.103, 41c8217b,dust,255
22.06.16-16:17:42.642, 41c82c24,dust,80
22.06.16-16:17:43.009, 41c8217b,dust,1
22.06.16-16:17:43.556, 41c82c24,dust,83
22.06.16-16:17:43.919, 41c8217b,dust,2
22.06.16-16:17:44.388, 41c82c24,dust,83
22.06.16-16:17:44.829, 41c8217b,dust,255
22.06.16-16:17:45.299, 41c82c24,dust,81
22.06.16-16:17:45.661, 41c8217b,dust,255
22.06.16-16:17:46.133, 41c82c24,dust,81
22.06.16-16:17:46.570, 41c8217b,dust,3
22.06.16-16:17:47.158, 41c82c24,dust,79
22.06.16-16:17:47.404, 41c8217b,dust,3
